,indicator,indicator-index,source,year,geography-level,value
0,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS2,2017,target-2020,80.0
1,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS2,2017,target-2025,
2,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS2,2017,NATIONAL,38.5
3,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS2,2017,VIENTIANE CAPITAL,49.9
4,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS2,2017,PHONGSALY,29.2
5,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS2,2017,LUANGNAMTHA,48.9
6,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS2,2017,OUDOMXAY,26.5
7,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS2,2017,BOKEO,42.8
8,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS2,2017,LUANGPRABANG,35.5
9,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS2,2017,HUAPHANH,48.1
10,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS2,2017,XAYABURY,54.8
11,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS2,2017,XIENGKHUANG,43.2
12,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS2,2017,VIENTIANE,36.8
13,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS2,2017,BORIKHAMXAY,50.2
14,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS2,2017,KHAMMUA,51.2
15,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS2,2017,SAVANNAKHET,27.1
16,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS2,2017,SARAVANE,32.0
17,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS2,2017,SEKONG,24.1
18,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS2,2017,CHAMPASACK,38.6
19,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS2,2017,ATTAPEU,23.0
20,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS2,2017,XAYSOMBOUNE,25.0
21,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS1,2012,target-2020,80.0
22,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS1,2012,target-2025,
23,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS1,2012,NATIONAL,
24,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS1,2012,VIENTIANE CAPITAL,60.0
25,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS1,2012,PHONGSALY,48.4
26,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS1,2012,LUANGNAMTHA,80.9
27,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS1,2012,OUDOMXAY,54.0
28,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS1,2012,BOKEO,73.3
29,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS1,2012,LUANGPRABANG,75.0
30,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS1,2012,HUAPHANH,51.9
31,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS1,2012,XAYABURY,88.1
32,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS1,2012,XIENGKHUANG,52.9
33,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS1,2012,VIENTIANE,64.2
34,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS1,2012,BORIKHAMXAY,48.1
35,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS1,2012,KHAMMUA,70.5
36,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS1,2012,SAVANNAKHET,32.0
37,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS1,2012,SARAVANE,81.4
38,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS1,2012,SEKONG,40.0
39,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS1,2012,CHAMPASACK,64.3
40,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS1,2012,ATTAPEU,50.4
41,Vitamin A Supplementation Coverage among children 6-59 months,SUN,LSIS1,2012,XAYSOMBOUNE,
42,Vitamin A Supplementation Coverage among children 6-59 months,SUN,MICS3,2006,target-2020,80.0
43,Vitamin A Supplementation Coverage among children 6-59 months,SUN,MICS3,2006,target-2025,
44,Vitamin A Supplementation Coverage among children 6-59 months,SUN,MICS3,2006,NATIONAL,18.1
45,Vitamin A Supplementation Coverage among children 6-59 months,SUN,MICS3,2006,VIENTIANE CAPITAL,
46,Vitamin A Supplementation Coverage among children 6-59 months,SUN,MICS3,2006,PHONGSALY,
47,Vitamin A Supplementation Coverage among children 6-59 months,SUN,MICS3,2006,LUANGNAMTHA,
48,Vitamin A Supplementation Coverage among children 6-59 months,SUN,MICS3,2006,OUDOMXAY,
49,Vitamin A Supplementation Coverage among children 6-59 months,SUN,MICS3,2006,BOKEO,
50,Vitamin A Supplementation Coverage among children 6-59 months,SUN,MICS3,2006,LUANGPRABANG,
51,Vitamin A Supplementation Coverage among children 6-59 months,SUN,MICS3,2006,HUAPHANH,
52,Vitamin A Supplementation Coverage among children 6-59 months,SUN,MICS3,2006,XAYABURY,
53,Vitamin A Supplementation Coverage among children 6-59 months,SUN,MICS3,2006,XIENGKHUANG,
54,Vitamin A Supplementation Coverage among children 6-59 months,SUN,MICS3,2006,VIENTIANE,
55,Vitamin A Supplementation Coverage among children 6-59 months,SUN,MICS3,2006,BORIKHAMXAY,
56,Vitamin A Supplementation Coverage among children 6-59 months,SUN,MICS3,2006,KHAMMUA,
57,Vitamin A Supplementation Coverage among children 6-59 months,SUN,MICS3,2006,SAVANNAKHET,
58,Vitamin A Supplementation Coverage among children 6-59 months,SUN,MICS3,2006,SARAVANE,
59,Vitamin A Supplementation Coverage among children 6-59 months,SUN,MICS3,2006,SEKONG,
60,Vitamin A Supplementation Coverage among children 6-59 months,SUN,MICS3,2006,CHAMPASACK,
61,Vitamin A Supplementation Coverage among children 6-59 months,SUN,MICS3,2006,ATTAPEU,
