Province_S,Province_L,feature_id,ValueOpenDaface,NationalOpenDeface
XYB,﻿Xaignabouli,0,0,11.1
ATP,﻿Attapeu,1,7.5,11.1
BK ,﻿Bokeo,2,15,11.1
BKX,﻿Bolikhamsai,3,0,11.1
CPS,﻿Champasak,4,10,11.1
HPH,﻿Houaphan,5,10,11.1
KHM,﻿Khammouane,6,37.5,11.1
LNT,﻿Luang Namtha,7,0,11.1
LPB,﻿Luang Prabang,8,25,11.1
ODX,﻿Oudomxay,9,0,11.1
PHO,﻿Phongsaly,10,67.5,11.1
SLV,﻿Salavan,11,22.5,11.1
SVK,﻿Savannakhet,12,0,11.1
VTE,﻿Vientiane Capital,13,5,11.1
VTP,﻿Vientiane,14,0,11.1
XSB,﻿Xaisomboun,15,0,11.1
SK,﻿Xekong,16,0,11.1
XK,﻿Xiangkhouang,17,0,11.1
