Province_S,Province_L,feature_id,ValueOpenDaface,NationalOpenDeface
VTE,﻿Vientiane Capital,13,0.7,23.9
PHO,﻿Phongsaly,10,47.2,23.9
LNT,﻿Luang Namtha,7,18.3,23.9
ODX,﻿Oudomxay,9,17,23.9
BK ,﻿Bokeo,2,18.9,23.9
LPB,﻿Luang Prabang,8,22,23.9
HPH,﻿Houaphan,5,22.8,23.9
XYB,﻿Xaignabouli,0,6.2,23.9
XK,﻿Xiangkhouang,17,12.2,23.9
VTP,﻿Vientiane,14,11.2,23.9
BKX,﻿Bolikhamsai,3,3.9,23.9
KHM,﻿Khammouane,6,29.2,23.9
SVK,﻿Savannakhet,12,44,23.9
SLV,﻿Salavan,11,64.6,23.9
SK,﻿Xekong,16,30.5,23.9
CPS,﻿Champasak,4,27.5,23.9
ATP,﻿Attapeu,1,34.9,23.9
XSB,﻿Xaisomboun,15,15.1,23.9
