Province,ValueVitA,NationalVitA,ValueDeworm,NationalDeworm,ValueIronFolic,NationalIronFolic
VTE,49.9,38.5,48.8,38.7,49.5,25.4
PHO,29.2,38.5,37.8,38.7,9.2,25.4
LNT,48.9,38.5,50.1,38.7,47.1,25.4
ODX,26.5,38.5,33.1,38.7,16.4,25.4
BK ,42.8,38.5,40.3,38.7,25.2,25.4
LPB,35.5,38.5,35.6,38.7,18.6,25.4
HPH,48.1,38.5,45.1,38.7,17.4,25.4
XYB,54.8,38.5,54.1,38.7,16.6,25.4
XK,43.2,38.5,40.6,38.7,35.8,25.4
VTP,36.8,38.5,40.4,38.7,42.5,25.4
BKX,50.2,38.5,49.4,38.7,44.9,25.4
KHM,51.2,38.5,49.1,38.7,15.9,25.4
SVK,27.1,38.5,27.5,38.7,19.1,25.4
SLV,32.0,38.5,28.6,38.7,18.5,25.4
SK,24.1,38.5,32.9,38.7,8.3,25.4
CPS,38.6,38.5,33.1,38.7,24.1,25.4
ATP,23.0,38.5,35.2,38.7,15.7,25.4
XSB,25.0,38.5,33.4,38.7,NA,25.4
